,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
10/07/2016,0,0,0,1,0,4,0,8,0,2,0,4,0,2,0,2,1,1,0,2,0,1,0,2,0,1,0,4
11/07/2016,0,1,0,3,0,1,0,4,0,5,0,10,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1
12/07/2016,0,0,0,1,0,1,0,15,0,5,0,5,0,1,0,1,0,0,0,1,0,2,0,3,1,3,0,2
13/07/2016,0,1,0,4,0,7,0,13,1,14,0,6,1,3,0,1,0,1,0,3,0,1,0,2,0,2,0,3
14/07/2016,0,1,0,4,0,5,0,9,1,4,0,13,0,2,0,0,0,0,0,4,0,0,0,3,0,0,0,0
15/07/2016,0,1,0,2,0,5,0,7,0,6,0,15,0,1,0,1,0,0,0,2,0,1,0,4,0,1,0,0
16/07/2016,1,4,0,2,1,6,0,15,0,8,0,7,0,4,0,5,0,0,0,2,0,2,0,2,0,1,0,3
17/07/2016,0,2,0,2,0,6,0,6,0,8,0,10,0,3,0,2,0,2,0,2,0,2,0,7,0,2,0,5
18/07/2016,0,1,0,3,0,5,0,6,1,5,0,15,0,0,0,2,0,1,0,1,0,2,0,3,0,0,0,1
19/07/2016,0,1,0,1,0,5,0,12,0,8,0,10,0,1,0,1,0,1,0,1,1,1,0,2,0,3,0,2
20/07/2016,0,2,0,2,0,7,0,12,0,10,0,10,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1
21/07/2016,0,0,0,1,0,7,0,16,0,7,0,12,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,2
22/07/2016,0,0,0,0,1,11,0,7,0,14,0,9,0,2,0,0,0,2,0,3,0,0,0,3,0,3,0,1
23/07/2016,1,2,0,1,0,8,0,7,0,6,0,8,0,1,0,2,1,1,0,0,0,1,0,0,1,1,0,3
24/07/2016,1,2,0,4,0,6,0,13,0,3,0,4,0,2,0,5,0,3,0,0,1,1,0,1,0,1,0,3
25/07/2016,0,2,0,4,0,5,0,12,1,6,0,10,1,2,0,1,0,0,0,0,1,1,0,2,0,2,0,1
26/07/2016,0,0,0,0,0,4,0,11,0,3,0,9,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2
27/07/2016,1,0,0,1,0,6,0,7,0,6,0,9,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,1
28/07/2016,0,1,0,2,1,2,0,7,0,9,0,7,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,2
29/07/2016,0,1,0,1,0,10,0,8,0,9,0,11,0,1,0,4,1,3,0,3,0,1,0,2,0,2,0,2
30/07/2016,0,0,0,3,1,10,0,13,0,9,0,10,0,1,0,4,0,0,0,3,0,1,0,1,0,0,0,1
31/07/2016,0,3,0,1,0,2,0,8,0,8,0,7,0,1,0,1,0,0,0,2,1,1,0,2,0,0,0,0
1/08/2016,0,2,0,1,0,5,0,17,1,8,0,19,0,1,0,0,0,0,0,3,1,1,0,2,0,1,0,3
2/08/2016,0,1,0,0,0,4,0,12,1,4,0,6,0,1,0,1,0,1,0,2,0,3,0,4,0,1,0,0
3/08/2016,0,1,0,1,0,3,0,10,0,8,0,10,0,2,0,0,0,2,0,3,1,4,0,2,0,1,0,1
4/08/2016,0,1,0,2,0,4,0,7,0,11,0,8,0,1,0,1,0,1,0,1,0,2,0,3,0,0,0,3
5/08/2016,0,1,0,0,0,0,0,11,0,9,0,17,0,1,0,4,0,0,0,2,1,1,0,3,1,0,0,2
6/08/2016,0,2,0,1,0,3,0,7,1,5,0,12,0,1,0,4,0,1,0,0,0,1,0,2,0,1,0,3
7/08/2016,0,0,0,2,0,6,0,4,0,9,0,5,0,4,0,1,0,2,0,2,0,0,0,3,0,0,0,0
8/08/2016,0,0,0,2,0,6,0,10,1,5,0,8,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,2
9/08/2016,0,0,0,1,0,7,0,10,1,6,0,7,0,1,0,3,0,1,0,1,0,0,0,3,0,1,0,1
10/08/2016,0,0,0,0,0,10,0,17,0,6,0,8,0,0,0,2,0,0,0,3,1,1,0,3,0,1,0,2
11/08/2016,0,0,0,1,0,7,0,2,0,8,0,8,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0
12/08/2016,0,1,0,1,1,4,0,12,1,4,0,9,0,1,0,1,0,1,0,3,0,0,0,2,0,0,0,1
13/08/2016,0,2,0,5,1,6,0,7,0,2,0,8,0,3,0,3,0,0,0,1,1,2,0,0,0,1,0,1
14/08/2016,0,1,0,2,0,7,0,10,0,9,0,5,0,1,0,2,1,1,0,3,0,1,0,2,0,1,0,2
15/08/2016,0,1,0,0,0,8,0,10,0,3,0,12,0,0,0,1,0,0,0,4,0,2,0,4,0,0,0,3
16/08/2016,0,1,0,2,0,11,0,10,0,6,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3
17/08/2016,0,0,0,3,0,4,0,14,0,7,0,12,0,1,0,0,0,1,0,1,0,0,0,5,0,1,0,2
18/08/2016,0,2,0,1,0,5,0,11,0,6,0,8,0,1,0,1,0,0,0,2,1,2,0,2,2,0,0,2
19/08/2016,0,1,0,2,0,10,0,12,0,7,0,6,1,0,0,0,0,2,0,3,0,2,0,1,0,0,0,2
20/08/2016,0,0,0,2,0,8,0,5,0,2,0,9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
21/08/2016,0,2,0,4,0,3,0,10,0,6,0,14,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,0
22/08/2016,1,0,0,1,0,4,0,8,0,4,0,13,0,1,0,2,0,0,0,2,0,1,0,3,0,1,0,2
23/08/2016,0,0,0,2,0,4,0,9,0,4,0,14,0,0,0,2,0,0,0,1,0,1,0,3,0,1,0,1
24/08/2016,0,0,0,1,0,10,0,9,1,10,0,9,1,1,0,1,0,2,0,1,0,2,0,1,0,2,0,2
25/08/2016,0,3,0,2,0,3,0,5,0,10,0,20,1,0,0,2,0,2,0,1,0,0,0,2,0,1,0,0
26/08/2016,0,1,0,4,2,7,0,10,2,7,0,9,0,0,0,3,1,1,0,0,0,2,0,4,0,0,0,1
27/08/2016,0,1,0,2,0,6,0,9,0,8,0,10,0,1,0,0,0,0,0,2,0,2,0,5,0,0,0,3
28/08/2016,0,0,0,4,0,1,0,4,0,7,0,8,0,1,0,1,0,1,0,3,0,3,0,2,0,3,0,3
29/08/2016,0,1,0,1,0,9,0,8,0,6,0,9,0,2,0,0,0,0,0,2,0,0,0,4,0,1,0,3
30/08/2016,0,1,0,1,0,2,0,11,0,5,0,8,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2
31/08/2016,0,1,0,0,0,9,0,12,0,11,0,7,0,2,0,0,0,0,0,0,0,2,0,2,0,1,0,1
1/09/2016,0,2,0,2,0,10,0,9,0,5,0,12,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,1
2/09/2016,0,0,0,0,0,4,0,6,0,6,0,8,0,1,0,1,0,1,0,2,0,2,0,4,0,2,0,0
3/09/2016,0,1,0,3,1,2,0,11,0,3,0,10,0,1,0,1,0,0,0,3,0,3,0,1,0,1,0,0
4/09/2016,0,0,0,0,0,5,0,6,0,8,0,6,0,2,0,1,0,1,0,2,0,1,0,2,0,0,0,1
5/09/2016,0,0,0,2,1,3,0,17,0,4,0,6,0,1,0,3,1,0,0,0,0,3,0,2,0,1,0,2
6/09/2016,0,0,0,2,0,4,0,14,0,2,0,7,0,0,0,0,0,0,0,1,1,1,0,5,0,0,0,1
7/09/2016,0,1,0,1,1,5,0,16,1,7,0,10,0,1,0,2,0,2,0,0,0,1,0,3,0,1,0,1
8/09/2016,0,1,0,0,0,8,0,10,0,12,0,12,0,0,0,2,0,1,0,5,0,1,0,3,0,1,0,2
9/09/2016,2,0,0,3,0,8,0,13,0,12,0,10,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,4
10/09/2016,0,1,0,2,0,7,0,11,0,2,0,8,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,1
11/09/2016,0,2,0,1,0,5,0,7,0,4,0,6,0,2,0,2,0,2,0,2,0,3,0,1,1,1,0,0
12/09/2016,0,1,0,2,0,8,0,12,0,9,0,9,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,0
13/09/2016,0,0,0,0,0,2,0,5,0,6,0,7,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,1
14/09/2016,0,1,0,1,0,2,0,11,1,5,0,15,0,1,0,1,0,1,0,2,1,1,0,2,0,0,0,2
15/09/2016,0,1,0,0,0,7,0,9,1,7,0,11,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0
16/09/2016,0,2,0,0,0,6,0,5,1,5,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
17/09/2016,0,0,0,2,1,5,0,12,0,9,0,4,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1
18/09/2016,0,2,0,4,1,6,0,10,0,4,0,4,0,2,0,5,0,1,0,2,0,2,0,2,0,0,0,1
19/09/2016,0,0,0,0,0,6,0,9,0,7,0,11,0,0,0,1,0,2,0,0,0,2,0,3,1,0,0,1
20/09/2016,0,0,0,0,1,8,0,13,0,5,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21/09/2016,0,0,0,2,0,4,0,10,0,5,0,9,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0
22/09/2016,0,0,0,2,0,2,0,6,0,4,0,8,0,1,0,0,0,0,0,1,0,3,0,3,0,0,0,2
23/09/2016,0,1,0,2,0,3,0,8,0,10,0,10,1,1,0,3,1,3,0,0,0,2,0,3,0,2,0,1
24/09/2016,0,1,0,3,0,8,0,8,0,4,0,8,1,5,0,2,0,3,0,2,0,1,0,1,0,0,0,0
25/09/2016,0,2,0,0,0,5,0,7,0,5,0,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26/09/2016,0,0,0,1,1,10,0,11,2,12,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1
27/09/2016,0,2,0,2,1,4,0,6,0,4,0,10,0,1,0,3,0,0,0,1,0,1,0,1,0,0,0,1
28/09/2016,0,1,0,2,0,4,0,10,0,17,0,10,1,0,0,0,0,0,0,3,0,0,0,4,0,1,0,2
29/09/2016,0,0,0,2,0,3,0,9,0,3,0,15,0,1,0,2,0,0,0,2,0,0,0,1,0,2,0,2
30/09/2016,0,1,0,1,0,3,0,9,0,3,0,3,0,1,0,3,0,0,0,4,0,1,0,2,0,1,0,3
1/10/2016,0,3,0,1,0,4,0,4,0,2,0,4,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0
2/10/2016,0,2,0,3,0,10,0,7,0,6,0,6,0,0,0,1,0,2,0,2,0,3,0,1,0,0,0,0
3/10/2016,0,3,0,3,0,5,0,10,0,5,0,12,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3
4/10/2016,0,0,0,1,0,5,0,4,0,9,0,9,1,0,0,1,0,0,0,4,0,2,0,2,0,1,0,2
5/10/2016,0,0,0,5,0,4,0,8,0,12,0,8,0,1,0,1,0,1,0,0,0,3,0,2,0,1,0,1
6/10/2016,0,1,0,0,0,7,0,8,1,6,0,9,1,0,0,0,0,2,0,1,0,1,0,2,0,2,0,0
7/10/2016,0,1,0,2,0,9,0,6,1,7,0,14,0,0,0,1,0,2,0,1,0,2,0,2,0,0,0,2
8/10/2016,0,3,0,3,0,7,0,16,0,7,0,12,0,0,0,3,0,1,0,0,0,2,0,2,2,5,0,2
9/10/2016,0,1,0,2,0,3,0,2,0,6,0,5,0,2,0,2,0,1,0,3,0,2,0,2,0,0,0,1
10/10/2016,0,1,0,2,0,9,0,12,0,4,0,14,1,1,0,1,0,0,0,2,0,0,0,1,0,1,0,1
11/10/2016,0,1,0,0,0,9,0,8,2,6,0,13,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2
12/10/2016,0,1,0,0,0,8,0,15,0,8,0,13,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
13/10/2016,0,0,0,1,0,13,0,9,1,9,0,13,1,2,0,0,0,1,0,1,0,2,0,4,0,1,0,2
14/10/2016,0,0,0,4,0,3,0,14,0,3,0,16,0,2,0,1,1,3,0,2,0,2,0,2,0,0,0,2
15/10/2016,0,1,0,2,0,8,0,13,0,3,0,4,0,3,0,4,0,1,0,0,0,2,0,0,0,1,0,1
16/10/2016,0,0,0,5,0,4,0,5,0,5,0,7,0,1,0,2,0,1,0,0,0,3,0,1,0,0,0,3
17/10/2016,0,0,0,1,0,11,0,8,0,7,0,8,0,2,0,0,0,3,0,1,0,1,0,1,0,2,0,2
18/10/2016,0,0,0,5,0,1,0,9,0,4,0,10,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,2
19/10/2016,0,2,0,0,0,4,0,14,0,7,0,13,0,2,0,2,0,0,0,1,0,0,0,0,1,2,0,1
20/10/2016,0,3,0,0,1,9,0,8,0,10,0,10,0,1,0,0,0,1,0,0,1,1,0,1,1,2,0,1
21/10/2016,0,1,0,0,1,5,0,13,0,12,0,5,0,1,0,4,0,3,0,1,0,0,0,1,0,0,0,0
22/10/2016,0,1,0,3,1,5,0,9,0,9,0,9,0,0,0,2,0,1,0,0,0,1,0,2,0,0,0,2
23/10/2016,0,0,0,2,0,5,0,4,0,4,0,3,0,2,0,1,0,2,0,2,0,2,0,0,1,2,0,4
24/10/2016,0,1,0,4,1,6,0,6,1,4,0,10,0,2,0,2,0,1,0,3,0,0,0,3,0,3,0,2
25/10/2016,1,0,0,1,0,9,0,9,0,8,0,7,0,1,0,1,0,0,0,0,0,4,0,3,1,0,0,0
26/10/2016,0,0,0,0,0,4,0,7,0,5,0,7,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1
27/10/2016,0,0,0,0,0,6,0,5,0,10,0,6,0,0,0,1,0,1,0,2,0,1,0,1,0,2,0,0
28/10/2016,0,0,0,3,0,8,0,10,0,9,0,14,0,2,0,2,0,0,0,3,0,2,0,2,0,2,0,1
29/10/2016,0,2,0,1,1,3,0,6,0,3,0,9,0,2,0,2,0,2,0,4,0,2,0,4,0,0,0,1
30/10/2016,0,2,0,5,0,5,0,3,0,6,0,11,0,1,0,4,0,0,0,3,0,3,0,2,1,0,0,3
31/10/2016,1,3,0,2,0,2,0,10,0,4,0,6,0,0,0,2,0,2,0,3,1,0,0,2,0,3,0,4
1/11/2016,0,3,0,2,0,2,0,6,0,8,0,4,0,1,0,1,0,1,0,1,0,0,0,3,0,1,0,0
2/11/2016,0,1,0,0,0,7,0,10,0,7,0,6,0,1,0,2,0,1,0,1,0,1,0,1,0,0,0,2
3/11/2016,0,1,0,0,0,5,0,10,0,6,0,9,0,0,0,2,0,1,0,4,0,1,0,0,0,1,0,0
4/11/2016,0,2,0,1,0,9,0,11,0,4,0,9,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,1
5/11/2016,0,0,0,3,0,2,0,8,2,12,0,9,0,0,0,3,0,2,0,1,0,0,0,1,0,1,0,1
6/11/2016,0,3,0,1,0,3,0,11,0,5,0,6,0,2,0,1,0,1,0,5,0,0,0,3,0,2,0,0
7/11/2016,0,0,0,0,0,4,0,7,0,3,0,11,0,0,0,4,0,0,0,4,0,2,0,6,0,3,0,2
8/11/2016,0,2,0,2,0,13,0,12,0,7,0,13,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4
9/11/2016,0,0,0,1,0,7,0,9,1,10,0,6,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,3
10/11/2016,0,1,0,3,0,6,0,11,0,10,0,8,0,2,0,3,0,1,0,1,0,0,0,1,0,0,0,1
11/11/2016,0,0,0,0,0,5,0,20,0,8,0,10,0,3,0,2,0,1,0,1,0,3,0,0,0,0,0,2
12/11/2016,1,4,0,3,0,6,0,3,0,8,0,3,0,3,0,8,0,0,0,0,0,1,0,0,0,2,0,1
13/11/2016,0,0,0,2,0,7,0,8,1,8,0,8,0,2,0,4,0,3,0,1,0,0,0,0,0,1,0,1
14/11/2016,0,1,0,1,0,4,0,9,0,5,0,4,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3
15/11/2016,0,0,0,2,0,3,0,11,1,7,0,11,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,2
16/11/2016,0,1,0,1,0,9,0,11,0,13,0,13,0,1,0,2,0,1,0,0,1,4,0,4,1,0,0,2
17/11/2016,0,0,0,2,0,7,0,11,1,7,0,14,0,1,0,2,0,0,0,3,0,1,0,4,0,2,0,2
18/11/2016,0,0,0,1,0,5,0,8,1,8,0,8,0,2,0,0,0,0,0,1,1,2,0,1,0,1,0,0
19/11/2016,0,1,0,3,0,4,0,9,0,13,0,6,0,1,0,2,0,2,0,5,0,2,0,2,0,1,0,2
20/11/2016,1,2,0,3,0,13,0,9,0,5,0,11,0,1,0,1,0,1,0,2,0,1,0,0,0,3,0,8
21/11/2016,0,1,0,3,1,7,0,9,1,8,0,13,0,1,0,9,0,1,0,1,0,1,0,2,0,1,0,1
22/11/2016,1,1,0,2,1,7,0,16,2,5,0,21,0,0,0,2,0,0,0,3,0,2,0,0,1,0,0,0
23/11/2016,0,0,0,1,1,8,0,14,0,7,0,9,0,0,0,1,0,2,0,1,0,2,0,0,0,2,0,0
24/11/2016,0,0,0,0,0,4,0,9,0,6,0,14,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,1
25/11/2016,0,0,0,2,0,4,0,11,0,8,0,15,0,1,0,2,0,2,0,2,0,1,0,1,0,1,0,0
26/11/2016,0,2,0,4,0,6,0,5,1,8,0,11,0,3,0,1,0,2,0,6,0,3,0,1,0,1,0,0
27/11/2016,0,2,0,0,0,3,0,6,1,2,0,5,0,3,0,1,0,2,0,1,0,1,0,2,0,1,0,2
28/11/2016,0,0,0,2,1,4,0,14,0,6,0,9,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,1
29/11/2016,0,0,0,2,0,6,0,15,0,10,0,10,0,1,0,0,0,1,0,3,0,2,0,2,0,1,0,0
30/11/2016,0,1,0,2,0,3,0,2,2,6,0,5,0,0,0,1,0,2,0,2,0,3,0,0,0,0,0,0
1/12/2016,0,1,0,1,0,2,0,6,0,5,0,9,1,2,0,0,0,3,0,1,0,3,0,1,0,2,0,1
2/12/2016,1,2,0,0,0,6,0,10,1,6,0,10,0,0,0,2,0,4,0,1,0,2,0,1,0,0,0,1
3/12/2016,0,2,0,0,2,8,0,4,0,7,0,13,0,2,0,3,0,3,0,1,0,0,0,2,0,0,0,1
4/12/2016,0,2,0,4,0,4,0,10,0,12,0,6,0,3,0,0,0,0,0,0,0,2,0,3,0,1,0,1
5/12/2016,0,0,0,2,0,6,0,6,0,6,0,11,1,0,0,0,0,2,0,1,0,0,0,4,0,2,0,0
6/12/2016,0,2,0,0,0,4,0,12,0,6,0,10,0,1,0,0,0,1,0,3,0,3,0,2,0,1,0,2
7/12/2016,0,0,0,2,0,2,0,8,0,7,0,9,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,3
8/12/2016,0,1,0,3,0,7,0,10,0,5,0,7,0,2,0,2,0,2,0,0,0,4,0,2,0,0,0,2
9/12/2016,0,0,0,3,1,4,0,7,0,7,0,11,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10/12/2016,0,1,0,3,1,8,0,10,0,1,0,5,0,4,0,0,0,1,0,1,0,5,0,2,0,2,0,4
11/12/2016,0,4,0,3,1,10,0,8,0,8,0,10,1,0,0,2,0,1,0,3,0,2,0,2,0,3,0,1
12/12/2016,0,0,0,2,0,8,0,11,0,4,0,6,1,4,0,0,0,0,0,2,0,1,0,0,0,1,0,1
13/12/2016,0,1,0,0,0,5,0,15,0,5,0,4,0,1,0,3,0,0,0,4,0,1,0,1,0,0,0,5
14/12/2016,0,0,0,1,0,10,0,11,0,6,0,7,0,1,0,0,0,3,0,1,0,0,0,1,1,1,0,1
15/12/2016,0,1,0,0,0,13,0,9,0,5,0,8,0,1,0,0,0,2,0,0,0,2,0,1,0,2,0,2
16/12/2016,0,1,0,2,0,10,0,7,1,4,0,12,1,2,0,0,1,0,0,2,0,4,0,0,0,1,0,2
17/12/2016,1,0,0,2,0,4,0,4,0,9,0,5,0,1,0,0,0,1,0,2,0,7,0,2,0,1,0,0
18/12/2016,0,1,0,1,1,1,0,8,0,6,0,4,0,1,0,0,0,1,0,3,0,2,0,3,0,0,0,1
19/12/2016,0,2,0,5,0,3,0,7,0,5,0,13,0,1,0,1,0,1,0,2,0,3,0,1,0,1,0,1
20/12/2016,0,0,0,0,0,7,0,9,0,8,0,10,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1
21/12/2016,0,0,0,1,0,4,0,4,0,7,0,10,0,0,0,4,0,1,0,1,0,1,0,3,0,0,0,2
22/12/2016,0,1,0,0,0,9,0,14,0,8,0,8,0,0,0,2,0,1,0,1,0,2,0,4,0,0,0,1
23/12/2016,0,1,0,2,0,6,0,6,0,5,0,8,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,2
24/12/2016,0,1,0,1,0,2,0,14,0,3,0,5,0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,2
25/12/2016,0,0,0,3,0,4,0,1,0,7,0,4,0,0,0,1,0,1,0,1,0,2,0,1,1,0,0,2
26/12/2016,0,1,0,1,0,7,0,6,0,6,0,9,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,2
27/12/2016,0,1,0,1,0,4,0,5,1,9,0,6,0,4,0,2,1,3,0,2,1,5,0,5,0,1,0,3
28/12/2016,0,1,0,5,0,3,0,5,0,3,0,5,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,1
29/12/2016,0,1,0,0,0,5,0,5,1,3,0,10,0,0,0,1,0,0,0,1,0,4,0,1,0,0,0,4
30/12/2016,0,1,0,3,0,3,0,2,0,4,0,10,1,3,0,3,0,1,0,4,0,2,0,1,0,0,0,1
31/12/2016,0,0,0,0,0,2,0,6,0,4,0,2,0,2,0,2,0,1,0,1,0,0,0,1,0,3,0,2
1/01/2017,0,0,0,2,0,1,0,2,0,2,0,4,0,2,0,2,0,2,0,1,0,1,0,1,0,0,0,0
2/01/2017,1,0,0,2,0,2,0,5,0,1,0,4,0,2,0,4,0,0,0,1,0,1,0,1,0,0,0,0
3/01/2017,0,3,0,2,0,4,0,4,0,3,0,7,1,1,0,2,0,0,0,2,0,1,0,2,0,3,0,1
4/01/2017,0,0,0,2,1,6,0,7,0,9,0,5,0,0,0,1,0,1,0,1,0,2,0,3,0,0,0,3
5/01/2017,1,1,0,0,0,2,0,3,0,0,0,7,1,1,0,1,0,1,0,0,0,1,0,3,0,1,0,1
6/01/2017,0,1,0,3,0,9,0,3,0,6,0,1,0,2,0,0,0,0,0,0,1,2,0,4,0,1,0,1
7/01/2017,0,0,0,1,0,5,0,4,0,3,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8/01/2017,0,2,0,1,1,2,0,8,0,3,0,7,0,2,0,0,0,1,0,0,0,3,0,4,0,0,0,1
9/01/2017,0,0,0,1,0,6,0,9,1,5,0,6,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,1
10/01/2017,0,0,0,2,0,3,0,7,0,3,0,9,0,1,0,2,0,3,0,3,0,0,0,2,0,0,0,0
11/01/2017,0,1,0,2,0,9,0,7,0,5,0,12,0,1,0,1,1,1,0,0,1,1,0,2,0,0,0,0
12/01/2017,0,3,0,1,0,2,0,3,1,6,0,7,0,0,0,0,0,1,0,1,0,2,0,2,0,1,0,1
13/01/2017,0,0,0,2,0,5,0,11,0,6,0,15,0,0,0,1,1,0,0,2,0,1,0,3,0,0,0,1
14/01/2017,0,0,0,2,0,3,0,4,1,9,0,3,0,2,0,0,0,2,0,1,0,4,0,1,0,1,0,0
15/01/2017,0,2,0,2,0,8,0,4,0,5,0,6,0,2,0,3,1,4,0,3,0,1,0,1,0,0,0,2
16/01/2017,0,0,0,0,0,2,0,4,0,7,0,6,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
17/01/2017,2,2,0,0,0,5,0,14,0,7,0,6,0,0,0,2,0,1,0,0,1,1,0,1,1,0,0,1
18/01/2017,0,1,0,0,0,5,0,9,0,8,0,5,0,0,0,2,0,1,0,2,0,1,0,0,0,1,0,0
19/01/2017,0,0,0,1,0,6,0,13,0,4,0,9,0,1,0,2,0,0,0,1,0,1,0,4,0,0,0,1
20/01/2017,0,1,0,1,0,4,0,5,0,6,0,10,0,0,0,2,0,4,0,1,0,1,0,0,0,1,0,0
21/01/2017,0,1,0,3,0,0,0,4,1,4,0,1,0,0,0,3,0,1,0,1,0,1,0,2,0,0,0,0
22/01/2017,1,2,0,1,0,4,0,5,0,9,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,2
23/01/2017,0,2,0,3,0,5,0,5,0,6,0,3,0,1,0,2,0,1,0,0,0,2,0,0,0,3,0,1
24/01/2017,0,0,0,1,1,3,0,8,0,4,0,8,0,2,0,1,0,0,0,1,0,1,0,1,0,1,0,0
25/01/2017,0,1,0,2,0,8,0,9,0,8,0,5,1,1,0,4,0,1,0,1,0,0,0,1,0,0,0,1
26/01/2017,0,2,0,1,0,2,0,4,0,3,0,7,0,0,0,2,0,0,0,3,0,2,0,5,0,1,0,2
27/01/2017,0,0,0,1,0,3,0,7,0,6,0,5,0,2,0,6,0,1,0,2,1,2,0,2,0,0,0,1
28/01/2017,0,1,0,0,0,5,0,7,0,6,0,11,0,1,0,1,0,0,0,2,0,3,0,0,0,1,0,1
29/01/2017,0,1,0,0,0,4,0,4,0,5,0,8,0,0,0,2,1,2,0,1,0,2,0,1,0,0,0,3
30/01/2017,0,1,0,1,0,3,0,6,0,6,0,6,0,1,0,1,0,1,0,0,0,2,0,5,0,0,0,1
31/01/2017,0,0,0,0,0,5,0,9,0,6,0,8,0,1,0,0,0,1,0,1,1,1,0,3,0,3,0,0
1/02/2017,0,2,0,1,0,2,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0
2/02/2017,0,0,0,0,0,2,0,9,0,11,0,10,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
3/02/2017,0,0,0,0,0,6,0,11,0,5,0,12,0,1,0,1,1,0,0,2,0,3,0,2,0,0,0,2
4/02/2017,0,0,0,1,0,8,0,7,0,6,0,8,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,2
5/02/2017,0,1,0,1,0,2,0,13,0,7,0,6,0,3,0,1,0,3,0,0,0,4,0,1,0,0,0,2
6/02/2017,0,1,0,0,0,10,0,8,0,3,0,11,0,0,0,3,0,0,0,1,0,0,0,3,0,2,0,0
7/02/2017,1,0,0,0,0,4,0,17,0,4,0,14,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1
8/02/2017,0,0,0,2,0,5,0,11,0,6,0,8,1,2,0,1,0,1,0,2,0,5,0,2,0,2,0,0
9/02/2017,0,0,0,1,0,5,0,7,0,7,0,10,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1
10/02/2017,0,1,0,1,0,7,0,12,1,5,0,8,0,1,0,2,0,3,0,1,0,5,0,1,0,1,0,1
11/02/2017,0,0,0,0,0,4,0,7,0,8,0,9,0,1,0,1,0,3,0,1,0,2,0,1,0,2,0,3
