,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
16/02/2016,0,1,0,1,0,5,0,14,2,12,0,13,0,1,0,2,0,1,0,1,0,1,0,3,1,1,0,1
17/02/2016,0,3,0,3,0,1,0,5,0,10,0,16,0,0,0,0,0,1,0,4,0,4,0,5,0,2,0,0
18/02/2016,0,2,0,2,1,5,0,19,0,8,0,8,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,2
19/02/2016,0,0,0,2,0,4,0,8,1,10,0,8,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0
20/02/2016,1,2,0,2,0,4,0,11,0,7,0,8,0,3,0,0,0,1,0,3,0,4,0,4,0,1,0,0
21/02/2016,0,1,0,2,0,5,0,7,1,7,0,10,0,5,0,5,0,0,0,1,1,2,0,4,2,1,0,1
22/02/2016,1,0,0,4,0,4,0,9,0,4,0,11,0,1,0,1,0,2,0,2,0,2,0,1,0,0,0,2
23/02/2016,1,0,0,3,0,7,0,16,0,8,0,11,0,1,0,0,0,1,0,5,0,1,0,0,1,3,0,0
24/02/2016,0,2,0,5,1,8,0,14,1,6,0,8,0,0,0,1,0,1,0,0,0,4,0,3,0,0,0,2
25/02/2016,0,1,0,0,0,3,0,17,1,8,0,12,1,0,0,0,0,1,0,3,0,1,0,3,0,1,0,4
26/02/2016,1,1,0,0,0,8,0,16,0,5,0,20,1,1,0,3,0,1,0,0,0,0,0,1,0,1,0,2
27/02/2016,0,3,0,3,2,3,0,11,0,9,0,7,0,3,0,3,0,1,0,5,0,1,0,3,0,1,0,0
28/02/2016,0,1,0,2,0,5,0,13,0,8,0,5,0,6,0,3,0,1,0,4,0,3,0,2,0,0,0,0
29/02/2016,0,0,0,2,0,6,0,14,0,7,0,14,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0
1/03/2016,1,1,0,0,0,4,0,17,0,11,0,13,0,1,0,1,0,1,0,1,0,1,0,3,0,0,0,5
2/03/2016,0,1,0,3,0,7,0,11,1,5,0,9,0,3,0,2,0,1,0,1,0,3,0,4,0,1,0,3
3/03/2016,1,0,0,1,0,7,0,16,2,9,0,14,1,1,0,1,0,1,0,6,0,1,0,1,0,0,0,1
4/03/2016,0,1,0,2,0,7,0,11,1,6,0,14,0,2,0,1,0,1,0,1,0,3,0,3,0,0,0,1
5/03/2016,0,0,0,3,0,6,0,8,0,9,0,6,0,4,0,1,0,0,0,0,0,2,0,2,1,1,0,2
6/03/2016,0,1,0,4,0,6,0,7,0,5,0,12,0,3,0,0,0,0,0,3,1,1,0,4,0,2,0,1
7/03/2016,0,0,0,1,0,1,0,7,0,9,0,8,0,2,0,1,1,0,0,2,0,1,0,0,0,1,0,1
8/03/2016,0,1,0,1,0,11,0,3,2,10,0,12,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,3
9/03/2016,0,1,0,1,0,2,0,15,1,7,0,9,0,1,0,1,0,2,0,1,0,0,0,2,0,1,0,1
10/03/2016,0,1,0,5,2,7,0,18,0,7,0,17,0,0,0,1,0,1,0,3,0,3,0,6,0,1,0,3
11/03/2016,0,4,0,3,0,9,0,8,0,8,0,10,0,2,0,2,0,2,0,1,0,1,0,3,0,3,0,4
12/03/2016,0,0,0,4,1,2,0,6,0,8,0,9,0,2,0,9,0,0,0,2,0,2,0,1,0,1,0,4
13/03/2016,0,2,0,4,0,2,0,7,0,7,0,7,1,4,0,2,0,4,0,0,0,6,0,2,0,3,0,1
14/03/2016,1,2,0,5,0,6,0,7,0,6,0,5,0,3,0,0,1,3,0,2,0,1,0,1,0,0,0,3
15/03/2016,0,0,0,0,0,4,0,13,1,4,0,10,0,4,0,0,0,3,0,2,0,1,0,3,0,1,0,2
16/03/2016,0,0,0,0,0,11,0,9,0,3,0,12,0,2,0,3,0,2,0,3,0,0,0,1,0,1,0,3
17/03/2016,0,0,0,0,0,9,0,18,0,12,0,7,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
