date,datatype,station,attributes,value
2016-01-25T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.5
2016-01-26T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-26T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.9
2016-01-26T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.1
2016-01-27T00:00:00,PRCP,GHCND:ASN00085279,",,a,",8.4
2016-01-27T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.9
2016-01-27T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.4
2016-01-28T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5.2
2016-01-28T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29.9
2016-01-28T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15
2016-01-29T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-01-29T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.7
2016-01-29T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17
2016-01-30T00:00:00,PRCP,GHCND:ASN00085279,",,a,",18.8
2016-01-30T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.5
2016-01-30T00:00:00,TMIN,GHCND:ASN00085279,",,a,",9.8
2016-01-31T00:00:00,PRCP,GHCND:ASN00085279,",,a,",28.8
2016-01-31T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.3
2016-01-31T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.2
2016-02-01T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-01T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.3
2016-02-01T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.9
2016-02-02T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-02T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.4
2016-02-02T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13
2016-02-03T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.6
2016-02-03T00:00:00,TMAX,GHCND:ASN00085279,",,a,",19.8
2016-02-03T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.1
2016-02-04T00:00:00,PRCP,GHCND:ASN00085279,",,a,",5.8
2016-02-04T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.7
2016-02-04T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.5
2016-02-05T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-02-05T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.1
2016-02-05T00:00:00,TMIN,GHCND:ASN00085279,",,a,",14.7
2016-02-06T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-06T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.3
2016-02-06T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.7
2016-02-07T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-07T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29.7
2016-02-07T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.1
2016-02-08T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-08T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.7
2016-02-08T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.6
2016-02-09T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-09T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.1
2016-02-09T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10.7
2016-02-10T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-10T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.6
2016-02-10T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.8
2016-02-11T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-11T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.9
2016-02-11T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.5
2016-02-12T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-12T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.3
2016-02-12T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.5
2016-02-13T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-13T00:00:00,TMAX,GHCND:ASN00085279,",,a,",35.5
2016-02-13T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.9
2016-02-14T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-14T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.4
2016-02-14T00:00:00,TMIN,GHCND:ASN00085279,",,a,",14.4
2016-02-15T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-15T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24
2016-02-15T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.8
2016-02-16T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-02-16T00:00:00,TMAX,GHCND:ASN00085279,",,a,",20.9
2016-02-16T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.3
2016-02-17T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-02-17T00:00:00,TMAX,GHCND:ASN00085279,",,a,",22.8
2016-02-17T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.9
2016-02-18T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-18T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.5
2016-02-18T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15
2016-02-19T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-19T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25
2016-02-19T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.2
2016-02-20T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-20T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.1
2016-02-20T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.9
2016-02-21T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-21T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.7
2016-02-21T00:00:00,TMIN,GHCND:ASN00085279,",,a,",10
2016-02-22T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-22T00:00:00,TMAX,GHCND:ASN00085279,",,a,",30.9
2016-02-22T00:00:00,TMIN,GHCND:ASN00085279,",,a,",11.8
2016-02-23T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-23T00:00:00,TMAX,GHCND:ASN00085279,",,a,",39
2016-02-23T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.8
2016-02-24T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-02-24T00:00:00,TMAX,GHCND:ASN00085279,",,a,",31
2016-02-24T00:00:00,TMIN,GHCND:ASN00085279,",,a,",19.2
2016-02-25T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-25T00:00:00,TMAX,GHCND:ASN00085279,",,a,",28.8
2016-02-25T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.7
2016-02-26T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-26T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.8
2016-02-26T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.4
2016-02-27T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-27T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.6
2016-02-27T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15.1
2016-02-28T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-28T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25
2016-02-28T00:00:00,TMIN,GHCND:ASN00085279,",,a,",12.8
2016-02-29T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-02-29T00:00:00,TMAX,GHCND:ASN00085279,",,a,",24.8
2016-02-29T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.4
2016-03-01T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-01T00:00:00,TMAX,GHCND:ASN00085279,",,a,",33.1
2016-03-01T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.6
2016-03-02T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-02T00:00:00,TMAX,GHCND:ASN00085279,",,a,",35.9
2016-03-02T00:00:00,TMIN,GHCND:ASN00085279,",,a,",15
2016-03-03T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-03T00:00:00,TMAX,GHCND:ASN00085279,",,a,",25.3
2016-03-03T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.7
2016-03-04T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-04T00:00:00,TMAX,GHCND:ASN00085279,",,a,",30.5
2016-03-04T00:00:00,TMIN,GHCND:ASN00085279,",,a,",13.8
2016-03-05T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-05T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.1
2016-03-05T00:00:00,TMIN,GHCND:ASN00085279,",,a,",18.5
2016-03-06T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-06T00:00:00,TMAX,GHCND:ASN00085279,",,a,",28.2
2016-03-06T00:00:00,TMIN,GHCND:ASN00085279,",,a,",16.6
2016-03-07T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-07T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29
2016-03-07T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.9
2016-03-08T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-03-08T00:00:00,TMAX,GHCND:ASN00085279,",,a,",29.4
2016-03-08T00:00:00,TMIN,GHCND:ASN00085279,",,a,",19.1
2016-03-09T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0
2016-03-09T00:00:00,TMAX,GHCND:ASN00085279,",,a,",33.7
2016-03-09T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17
2016-03-10T00:00:00,PRCP,GHCND:ASN00085279,",,a,",1.6
2016-03-10T00:00:00,TMAX,GHCND:ASN00085279,",,a,",26.2
2016-03-10T00:00:00,TMIN,GHCND:ASN00085279,",,a,",19
2016-03-11T00:00:00,PRCP,GHCND:ASN00085279,",,a,",40.2
2016-03-11T00:00:00,TMAX,GHCND:ASN00085279,",,a,",27.8
2016-03-11T00:00:00,TMIN,GHCND:ASN00085279,",,a,",18.8
2016-03-12T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-03-12T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.2
2016-03-12T00:00:00,TMIN,GHCND:ASN00085279,",,a,",19.7
2016-03-13T00:00:00,PRCP,GHCND:ASN00085279,",,a,",1.2
2016-03-13T00:00:00,TMAX,GHCND:ASN00085279,",,a,",23.8
2016-03-13T00:00:00,TMIN,GHCND:ASN00085279,",,a,",19
2016-03-14T00:00:00,PRCP,GHCND:ASN00085279,",,a,",0.2
2016-03-14T00:00:00,TMAX,GHCND:ASN00085279,",,a,",21.4
2016-03-14T00:00:00,TMIN,GHCND:ASN00085279,",,a,",17.2
2016-03-15T00:00:00,PRCP,GHCND:ASN00085279,",,a,",4.6
